resp_id,aes_canton,aes_langreg,t0sex,t0fmedu_comp,t0immig,t1bqvalids,t2bqvalids,t3bqvalids,t1wt,t2wt,t3wt,t0hisei08_3q,t0wlem_3q,t0st_nprog_req3,t1educ_class_1_r,t2educ_class_1_r,t3educ_class_1_r
8012763,Valais (VS),German,Male,Tertiary education,Native (at least 1 parent born in Switzerland),Valid response,Valid response,Valid response,1.8058632493717,1.190190793959489,1.349038411909802,Low,Medium,Basic/low requirements,3-4 years VET,3-4 years VET,3-4 years VET
8012764,Solothurn (SO),German,Female,Tertiary education,Native (at least 1 parent born in Switzerland),Valid response,Valid response,Valid response,5.025025871592045,4.53519195758032,4.023368023295318,Medium,Low,Advanced requirements & Alternative/non-assignable study programme,Internship,3-4 years VET,3-4 years VET
8012768,Jura (JU),French,Male,Compulsory schooling only,Native (at least 1 parent born in Switzerland),Valid response,Valid response,Valid response,1.493660477954611,1.509554838116169,1.477820378485557,Low,Low,Basic/low requirements,3-4 years VET,3-4 years VET,Internship
8012770,Glarus (GL),German,Male,Compulsory schooling only,First generation (respondent and parent(s) born abroad),Valid response,Valid response,Valid response,.1776073441163035,.2660074780599852,1.829024358747513,Low,Medium,Basic/low requirements,3-4 years VET,3-4 years VET,3-4 years VET
8012771,Ticino (TI),Italian,Female,Tertiary education,Native (at least 1 parent born in Switzerland),Valid response,Valid response,Valid response,4.029871144229947,3.458914752998199,4.768702709666361,Low,High,Advanced requirements & Alternative/non-assignable study programme,3-4 years VET,3-4 years VET,3-4 years VET
8012775,Schwyz (SZ),German,Female,Upper secondary education,"Second generation (respondent born in Switzerland, no parent born in Switzerland)",Valid response,Valid response,No valid response,7.858559635544327,5.238563583019207,,Low,Low,Basic/low requirements,3-4 years VET,3-4 years VET,
8012776,Thurgau (TG),German,Female,Tertiary education,Native (at least 1 parent born in Switzerland),Valid response,Valid response,No valid response,3.110637474093489,3.786301841523841,,High,Low,Basic/low requirements,10th school year,3-4 years VET,
8012781,Schwyz (SZ),German,Female,Upper secondary education,Native (at least 1 parent born in Switzerland),Valid response,Valid response,Valid response,2.807536045111349,2.142354058387613,2.450200489617464,Medium,High,Advanced requirements & Alternative/non-assignable study programme,"Other general education programme (specialized middle school, Waldorf)","Other general education programme (specialized middle school, Waldorf)","Other general education programme (specialized middle school, Waldorf)"
8012782,Thurgau (TG),German,Male,Upper secondary education,Native (at least 1 parent born in Switzerland),Valid response,Valid response,No valid response,9.838526534609571,11.1342303333679,,Low,Medium,Advanced requirements & Alternative/non-assignable study programme,3-4 years VET,3-4 years VET,
8012787,Lucerne (LU),German,Male,Compulsory schooling only,"Second generation (respondent born in Switzerland, no parent born in Switzerland)",Valid response,Valid response,No valid response,8.717384101492566,11.15610141013261,,Low,Low,Basic/low requirements,NET,3-4 years VET,
8012793,Schwyz (SZ),German,Male,Tertiary education,Native (at least 1 parent born in Switzerland),Valid response,Valid response,Valid response,9.659370075758593,8.380872224184955,9.70650986894292,Medium,High,High requirements,General baccalaureate,General baccalaureate,General baccalaureate
8012794,Valais (VS),French,Male,Upper secondary education,Native (at least 1 parent born in Switzerland),Valid response,No valid response,Valid response,2.458332609467852,,8.016318629784136,Low,Medium,Advanced requirements & Alternative/non-assignable study programme,3-4 years VET,,3-4 years VET
8012795,Aargau (AG),German,Female,Compulsory schooling only,"Second generation (respondent born in Switzerland, no parent born in Switzerland)",Valid response,No valid response,No valid response,.1718296493077819,,,Low,Low,Advanced requirements & Alternative/non-assignable study programme,3-4 years VET,,
8012802,Vaud (VD),French,Male,Upper secondary education,Native (at least 1 parent born in Switzerland),No valid response,Valid response,Valid response,,61.44897610414012,34.62264657644461,Low,Low,Advanced requirements & Alternative/non-assignable study programme,,3-4 years VET,3-4 years VET
8012803,Fribourg (FR),German,Female,Upper secondary education,"Second generation (respondent born in Switzerland, no parent born in Switzerland)",Valid response,Valid response,Valid response,2.495744817557755,2.540856756415849,2.105469202513496,Low,Medium,High requirements,General baccalaureate,General baccalaureate,General baccalaureate
8012806,Thurgau (TG),German,Female,Tertiary education,Native (at least 1 parent born in Switzerland),Valid response,Valid response,Valid response,4.258728385402273,4.348942561419729,4.616284959099564,Low,Medium,Advanced requirements & Alternative/non-assignable study programme,3-4 years VET,3-4 years VET,3-4 years VET
8012808,Graubünden (GR),German,Male,Upper secondary education,Native (at least 1 parent born in Switzerland),Valid response,Valid response,Valid response,11.68025304474187,10.14336294558814,9.779881372538897,Medium,Low,Advanced requirements & Alternative/non-assignable study programme,3-4 years VET,3-4 years VET,3-4 years VET
8012810,Vaud (VD),French,Female,Upper secondary education,Native (at least 1 parent born in Switzerland),Valid response,Valid response,Valid response,29.98117656305292,29.97830724697613,35.21361567304188,Medium,High,High requirements,General baccalaureate,General baccalaureate,General baccalaureate
